alacritty 0.17.0-1
android-studio 2025.3.2.6-1
antigravity 1.18.4-1
atac 0.23.0-2
baobab 50.0-1
base 3-3
base-devel 1-2
blueman 2.4.6-2
bluez 5.86-5
bluez-utils 5.86-5
brightnessctl 0.5.1-3
claude-code 2.1.39-1
dbeaver 26.0.3-1
decibels 49.6.1-1
docker 1:29.4.1-1
docker-compose 5.1.3-1
dolphin 26.04.0-1
dunst 1.13.2-1
efibootmgr 18-3
elixir 1.19.5-1
epiphany 50.4-1
eslint-language-server 3.0.24-1
eslint_d 14.3.0-1
ex-vi-compat 2-1
eza 0.23.4-3
firefox 150.0-1
fish 4.6.0-1
fish-z-git 1.1.r63.gd2f502f-1
fisher 4.4.8-1
flameshot 13.3.0-2
fuzzel 1.14.1-1
gdm 50.0-2
gimp 3.2.4-1
git 2.54.0-1
gnome-backgrounds 50.0-1
gnome-calculator 50.0-1
gnome-calendar 50.0-1
gnome-characters 50.0-1
gnome-clocks 50.0-2
gnome-connections 50.0-1
gnome-console 50.0-1
gnome-contacts 50.0-1
gnome-control-center 50.1-1
gnome-disk-utility 46.1-2
gnome-font-viewer 50.0-1
gnome-keyring 1:50.0-1
gnome-logs 50.0-1
gnome-maps 50.1-1
gnome-menus 3.38.1-1
gnome-music 1:49.1-2
gnome-remote-desktop 50.1-1
gnome-software 50.1-1
gnome-system-monitor 50.0-1
gnome-text-editor 50.0-1
gnome-themes-extra 1:3.28-1
gnome-tour 50.0-1
gnome-tweaks 49.0-2
gnome-user-docs 50.0-1
gnome-user-share 48.2-1
gnome-weather 50.0-1
google-chrome 147.0.7727.55-1
grilo-plugins 1:0.3.18-3
grim 1.5.0-2
gst-plugin-pipewire 1:1.6.4-1
gtk-theme-elementary 8.2.2-2
gvfs-afc 1.60.0-2
gvfs-dnssd 1.60.0-2
gvfs-goa 1.60.0-2
gvfs-gphoto2 1.60.0-2
gvfs-mtp 1.60.0-2
gvfs-nfs 1.60.0-2
gvfs-onedrive 1.60.0-2
gvfs-smb 1.60.0-2
gvfs-wsdd 1.60.0-2
htop 3.5.0-1
hyprland 0.54.3-3
hyprpaper 0.8.3-5
hyprshot 1.3.0-4
inkscape 1.4.3-9
intel-media-driver 26.1.5-1
intel-ucode 20260227-1
iwd 3.12-1
kitty 0.46.2-1
lazydocker 0.25.2-1
lazygit 0.61.1-1
less 1:692-1
libpulse 17.0+r98+gb096704c0-1
libreoffice-fresh 26.2.2-5
libva-intel-driver 2.4.1-6
limine 12.0.2-1
linux 6.19.14.arch1-1
linux-firmware 20260410-1
loupe 50.0-1
malcontent 0.14.0-4
meld 3.22.3-2
minecraft-launcher 1:2.1.3-3
nano 9.0-1
neovim 0.12.2-1
network-manager-applet 1.36.0-2
networkmanager 1.56.0-1
networkmanager-vpn-plugin-openvpn 1.12.5-1
nodejs 25.9.0-1
noto-fonts 1:2026.04.01-1
npm 11.13.0-1
obs-studio 32.1.2-1
obsidian 1.12.7-2
opencode 1.14.20-1
openvpn 2.7.3-1
orca 50.1.2-1
otf-font-awesome 7.2.0-1
papers 50.1-1
papirus-icon-theme 20250501-1
perl-build 1.31-1
pipewire 1:1.6.4-1
pipewire-alsa 1:1.6.4-1
pipewire-jack 1:1.6.4-1
pipewire-pulse 1:1.6.4-1
plenv 2.3.1-1
polkit-kde-agent 6.6.4-1
postgresql 18.3-2
postman-bin 11.81.0-1
prismlauncher 11.0.2-1
python-awscli-local 0.22.0-1
python-boto3 1.42.91-1
python-pip 26.0.1-1
qt5-wayland 5.15.18+kde+r55-1
qt6-wayland 6.11.0-1
rbenv 1.3.2-2
reflector 2023-5
ruby 3.4.8-2
ruby-build 20260412-1
ruby-irb 1.15.0-1
rygel 1:45.1-1
showtime 50.0-1
signal-desktop 8.8.0-1
simple-scan 50.0-1
slack-desktop 4.47.69-1
slurp 1.5.0-2
smartmontools 7.5-1
snapshot 50.0-1
sof-firmware 2025.12.2-1
sushi 50.0-1
texlive-basic 2026.1-1
texlive-bibtexextra 2026.1-1
texlive-binextra 2026.1-1
texlive-fontsextra 2026.1-1
texlive-latex 2026.1-1
texlive-latexextra 2026.1-1
ttf-3270-nerd 3.4.0-2
ttf-arimo-nerd 3.4.0-2
ttf-cascadia-code-nerd 3.4.0-2
ttf-dejavu-nerd 3.4.0-2
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-roboto-mono-nerd 3.4.0-2
uv 0.11.8-1
uwsm 0.26.4-1
vim 9.2.0388-1
vinegar 1.9.1-1
visual-studio-code-bin 1.115.0-1
vulkan-intel 1:26.0.5-1
vulkan-nouveau 1:26.0.5-1
vulkan-radeon 1:26.0.5-1
waybar 0.15.0-2
wget 1.25.0-3
wireless_tools 30.pre9-5
wiremix 0.10.0-1
wireplumber 0.5.14-1
wl-clipboard 1:2.3.0-1
wofi 1.5.3-1
xdg-desktop-portal-hyprland 1.3.12-1
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xf86-video-nouveau 1.0.18-1
xorg-server 21.1.22-1
xorg-xinit 1.4.4-1
yay 12.5.7-1
yay-debug 12.5.7-1
yelp 49.0-1
zram-generator 1.2.1-1
